ticker,signal_date,entry_date,entry_price,resistance_level,base_low,target_price,stop_price,exit_date,exit_price,exit_reason,days_held,pnl,win,risk_reward,volume_ratio,consolidation_length,base_range_pct,year
ALL,2024-03-15,2024-03-15,162.2,161.2,153.87,168.53,153.1,2024-03-25,168.53,Profit Target,6,0.039026,True,0.696,5.489,17,0.047638,2024
AME,2024-02-02,2024-02-02,167.44,166.65,159.28,174.02,158.48,2024-02-15,174.02,Profit Target,9,0.039298,True,0.735,1.502,30,0.046271,2024
AME,2024-02-14,2024-02-14,173.41,169.3,161.47,177.13,160.66,2024-02-22,177.13,Profit Target,5,0.021452,True,0.292,1.934,18,0.048492,2024
AMP,2024-03-15,2024-03-15,419.49,419.24,403.68,434.8,401.66,2024-03-21,434.8,Profit Target,4,0.036497,True,0.859,3.03,15,0.038545,2024
AON,2024-10-08,2024-10-08,353.97,353.54,337.19,369.89,335.5,2024-10-25,369.89,Profit Target,13,0.044976,True,0.862,1.57,29,0.048489,2024
APH,2024-01-24,2024-01-24,50.33,49.24,46.94,51.54,46.71,2024-02-02,51.54,Profit Target,7,0.023942,True,0.333,3.047,15,0.048887,2024
APH,2024-12-16,2024-12-16,75.35,74.93,72.0,77.86,71.64,2024-12-18,71.64,Stop Loss,2,-0.049237,False,0.677,1.837,16,0.040694,2024
ATO,2024-09-09,2024-09-09,133.8,133.46,127.43,139.49,126.79,2024-10-01,139.49,Profit Target,16,0.042526,True,0.812,2.478,19,0.04732,2024
ATO,2024-09-10,2024-09-10,136.2,134.02,128.12,139.92,127.48,2024-10-04,139.92,Profit Target,18,0.027313,True,0.427,2.308,16,0.046051,2024
BAX,2024-01-08,2024-01-08,40.67,39.8,37.95,41.65,37.76,2024-02-06,39.71,Time Exit,20,-0.023605,False,0.337,2.796,15,0.048748,2024
BK,2024-01-12,2024-01-12,54.85,53.18,50.87,55.49,50.62,2024-01-22,55.49,Profit Target,5,0.011668,True,0.151,2.182,19,0.04541,2024
BKNG,2024-10-31,2024-10-31,4676.25,4477.88,4267.24,4688.52,4245.9,2024-11-01,4688.52,Profit Target,1,0.002624,True,0.029,3.153,15,0.049362,2024
BLK,2024-10-11,2024-10-11,990.26,963.33,918.96,1007.7,914.37,2024-10-15,1007.7,Profit Target,2,0.017612,True,0.23,1.856,16,0.048283,2024
BMY,2024-10-31,2024-10-31,55.77,53.83,51.31,56.35,51.05,2024-11-06,56.35,Profit Target,4,0.0104,True,0.123,2.181,17,0.049113,2024
BSX,2024-06-21,2024-06-21,77.71,77.64,74.06,81.22,73.69,2024-07-22,78.27,Time Exit,20,0.007206,True,0.873,1.894,24,0.048339,2024
CBOE,2024-07-17,2024-07-17,180.25,175.2,166.88,183.52,166.05,2024-07-18,183.52,Profit Target,1,0.018141,True,0.23,1.532,16,0.049856,2024
CHD,2024-09-03,2024-09-03,105.29,103.28,98.73,107.83,98.24,2024-10-01,104.48,Time Exit,20,-0.007693,False,0.36,1.521,20,0.046085,2024
CL,2024-01-23,2024-01-23,81.41,81.3,77.98,84.62,77.59,2024-01-31,84.62,Profit Target,6,0.03943,True,0.84,1.628,19,0.042575,2024
