date,ticker,pnl,equity
2024-01-17,LITE,-0.02,2.2355908781300875
2024-01-19,ACN,0.037706,2.319886067780861
2024-01-22,PHM,0.07,2.482278092525521
2024-01-25,UBER,0.057523,2.6250661752418667
2024-01-29,EFX,0.02605,2.6934491491069172
2024-01-30,FFIV,0.07,2.881990589544402
2024-01-30,C,0.07,3.08372993081251
2024-01-30,ARM,-0.02,3.0220553321962598
2024-01-31,CL,0.03943,3.1412149739447583
2024-01-31,EXPE,-0.02,3.0783906744658633
2024-02-01,RCL,-0.02,3.016822860976546
2024-02-01,TFC,-0.02,2.956486403757015
2024-02-01,HON,-0.052841,2.8002627056960905
2024-02-02,KKR,0.063309,2.9775445373310045
2024-02-02,EW,0.07,3.185972654944175
2024-02-02,EXPE,-0.02,3.1222532018452913
2024-02-06,MCD,-0.05203,2.9598023677532805
2024-02-06,ARM,-0.02,2.900606320398215
2024-02-09,WSM,0.07,3.10364876282609
2024-02-13,ZS,-0.02,3.041575787569568
2024-02-13,FIS,-0.02,2.980744271818177
2024-02-13,LDOS,0.043209,3.109539251059169
2024-02-14,MDLZ,-0.052671,2.9457567091666315
2024-02-15,AME,0.039298,3.061519056323462
2024-02-16,AMD,-0.02,3.000288675196993
2024-02-22,EFX,0.040586,3.122058391368538
2024-02-22,RSG,0.043164,3.2568189197735697
2024-02-27,COO,-0.02,3.1916825413780985
2024-02-28,CRWD,-0.02,3.1278488905505366
2024-03-01,C,0.007064,3.1499440151133853
2024-03-01,AVGO,0.07,3.3704400961713223
2024-03-01,MRVL,0.07,3.6063709029033153
2024-03-05,ALGN,-0.02,3.534243484845249
2024-03-06,PSX,0.022431,3.613520100453813
2024-03-06,FER,-0.02,3.541249698444737
2024-03-07,IBM,0.07,3.7891371773358684
2024-03-11,PLTR,-0.02,3.713354433789151
2024-03-12,COF,0.025216,3.806990379191578
2024-03-15,CRWD,-0.02,3.7308505716077462
2024-03-19,CRWD,-0.02,3.656233560175591
2024-03-20,LLY,-0.02,3.5831088889720792
2024-03-21,ALGN,0.07,3.833926511200125
2024-03-21,AMP,0.036497,3.9738533270793956
2024-03-22,DIS,0.050308,4.173769940258106
2024-03-25,CB,0.002392,4.183753597955203
2024-03-25,ARM,0.07,4.476616349812067
2024-03-27,BRK-B,0.021562,4.573141151546715
2024-03-27,PLTR,-0.02,4.481678328515781
2024-04-02,SYK,-0.02,4.392044761945465
2024-04-02,ASML,-0.02,4.304203866706556
2024-04-03,IBKR,0.07,4.605498137376014
2024-04-03,IBKR,0.07,4.927883006992336
2024-04-03,DELL,0.07,5.2728348174818
2024-04-04,ASML,-0.02,5.167378121132164
2024-04-05,CF,-0.02,5.064030558709521
2024-04-09,CVNA,-0.02,4.962749947535331
2024-04-09,HOOD,-0.02,4.863494948584624
2024-04-12,AXON,-0.02,4.766225049612932
2024-04-12,COIN,-0.02,4.670900548620673
2024-04-15,EBAY,-0.02,4.577482537648259
2024-04-15,PCG,-0.02,4.485932886895294
2024-04-16,PPL,-0.023649,4.379845060053107
2024-04-16,META,0.004805,4.400890215566662
2024-04-17,ITW,-0.054427,4.161362963804015
2024-04-17,VRT,-0.02,4.078135704527934
2024-04-25,VST,-0.02,3.9965729904373757
2024-04-29,VLTO,0.055976,4.220285160150098
2024-04-30,RSG,0.032572,4.3577482883865075
2024-04-30,CVNA,-0.02,4.270593322618777
2024-05-01,TMUS,-0.002592,4.259523944726549
2024-05-01,TSN,0.029191,4.383863708197062
2024-05-01,TRGP,-0.02,4.29618643403312
2024-05-01,CEG,-0.02,4.2102627053524575
2024-05-01,GRMN,0.07,4.50498109472713
2024-05-02,ES,0.07,4.820329771358029
2024-05-03,NRG,0.07,5.157752855353092
2024-05-03,ALL,-0.02,5.0545977982460295
2024-05-06,TTD,0.07,5.408419644123252
2024-05-08,NTAP,0.07,5.7870090192118795
2024-05-09,MU,-0.02,5.6712688388276415
2024-05-14,FANG,-0.02,5.557843462051089
2024-05-15,BG,-0.02,5.446686592810067
2024-05-15,KR,-0.02,5.337752860953866
2024-05-16,GPC,-0.02,5.230997803734788
2024-05-17,WDC,0.016209,5.315787047135525
2024-05-17,GE,-0.02,5.209471306192815
2024-05-21,HRL,0.031719,5.374710526553945
2024-05-22,SCHW,-0.02,5.267216316022866
2024-05-22,CAG,-0.02,5.161871989702409
2024-05-22,HAS,-0.02,5.05863454990836
2024-05-28,HRL,-0.052133,4.794912754917988
2024-05-28,OMC,-0.02,4.6990144998196275
2024-05-29,FCX,-0.02,4.605034209823235
2024-05-31,FIX,-0.02,4.51293352562677
2024-05-31,GE,-0.02,4.422674855114234
2024-05-31,GE,-0.02,4.334221358011949
2024-06-06,AWK,-0.02,4.247536930851711
2024-06-07,APP,-0.02,4.162586192234676
2024-06-10,SO,0.015691,4.22790133217703
2024-06-10,CMG,-0.02,4.143343305533489
2024-06-11,JPM,-0.02,4.060476439422819
2024-06-11,NEE,-0.02,3.979266910634363
2024-06-12,UHS,0.038895,4.134040497123486
2024-06-13,IFF,-0.02,4.051359687181017
2024-06-13,UAL,-0.02,3.9703324934373962
2024-06-14,PEG,-0.049392,3.7742298309215365
2024-06-14,EME,-0.02,3.6987452343031055
2024-06-25,ADI,-0.02,3.6247703296170433
2024-07-01,GOOG,0.034311,3.7491398243965337
2024-07-02,DPZ,-0.049672,3.562912551039109
2024-07-02,APH,-0.02,3.4916543000183267
2024-07-03,NEM,0.039722,3.630349792123655
2024-07-05,GOOG,0.07,3.884474277572311
2024-07-05,NVDA,-0.02,3.8067847920208644
2024-07-09,SATS,-0.02,3.730649096180447
2024-07-10,NEM,0.07,3.991794532913078
2024-07-10,HOOD,-0.02,3.9119586422548167
2024-07-11,TKO,0.021273,3.995177738451504
2024-07-11,VTR,0.029263,4.11208862461181
2024-07-12,REG,0.035015,4.256073407802593
2024-07-12,GLW,0.07,4.553998546348775
2024-07-12,GEV,-0.02,4.462918575421799
2024-07-15,PODD,-0.02,4.373660203913364
2024-07-15,DVA,-0.02,4.286186999835096
2024-07-16,TMUS,0.021778,4.379531580317505
2024-07-16,HOOD,-0.02,4.291940948711155
2024-07-18,BIIB,-0.02,4.206102129736932
